feature,importance,std
y2_pts,0.26851186421842843,0.09751210235748431
y2_fg_pct,0.08868500519733186,0.054490282590209396
delta_min,0.08557949738715595,0.037415001787515334
y2_ft_pct,0.006055425335048825,0.004670980302580209
y2_ast_tov,0.005870703564803637,0.014803465595881157
minutes_trajectory,0.004619027453411961,0.007609281720644252
overperform_draft,0.002534382954508474,0.007539664517552219
y2_min,0.0003954993383766481,0.0036416874797927973
y2_fg3_pct,-0.00028758846301973895,0.01805589790948567
delta_ast,-0.0011414514825183852,0.009518553542284664
skill_diversity,-0.006236419094564771,0.009342990881070592
ft_pct_improvement,-0.010822200112478652,0.012655446833182362
draft_pick,-0.012207992559527692,0.03253444973022414
y2_ast,-0.019524811976971458,0.02046467652252535
usage_to_efficiency,-0.023223897881820256,0.025464921713463567
y2_reb,-0.044671781571082626,0.014731064176730133
delta_pts,-0.058460425161611804,0.03264834733474217
